symbol,company_name,cmp,pe,mcap_cr,div_yield_pct,np_qtr_cr,profit_growth_qtr_pct,sales_qtr_cr,sales_growth_qtr_pct,roce_pct,basic_industry
BAJAJ-AUTO,Bajaj Auto,11283.5,26.3,310052.36,1.33,3188.75,45.93,21688.83,65.14,28.24,2/3 Wheelers
EICHERMOT,Eicher Motors,7721.5,38.12,211858.88,1.06,1519.95,11.58,6080.09,16.01,30.52,2/3 Wheelers
TVSMOTOR,TVS Motor Co.,3919.8,53.83,186203.2,0.31,1057.61,67.11,16295.52,33.46,17.37,2/3 Wheelers
HEROMOTOCO,Hero Motocorp,5173.8,18.03,103555.23,3.58,1473.92,25.72,12978.28,30.18,35.22,2/3 Wheelers
ATHERENERG,Ather Energy,1233.2,,48593.95,0.0,-100.23,57.23,1174.66,73.75,-19.77,2/3 Wheelers
OLAELEC,Ola Electric,37.0,,17125.11,0.0,-500.0,42.53,265.0,-56.63,-19.56,2/3 Wheelers
TUNWAL,Tunwal E-Motors,26.7,12.1,154.04,0.37,4.23,-34.72,132.45,27.15,13.28,2/3 Wheelers
DELTIC,Delta Auto.,36.25,8.45,55.43,0.0,3.1,-47.28,37.54,-28.28,11.81,2/3 Wheelers
VICTORYEV,Victory Ele.,16.4,18.38,39.51,0.0,0.53,-86.91,15.27,-52.67,10.52,2/3 Wheelers
TIMKEN,Timken India,3083.1,58.24,23203.15,0.08,154.79,-17.15,1073.14,14.19,18.26,Abrasives & Bearings
GRINDWELL,Grindwell Norton,2004.0,57.27,22186.64,0.95,119.34,28.31,842.21,18.7,21.18,Abrasives & Bearings
CARBORUNIV,Carborundum Uni.,1056.1,78.25,20125.55,0.38,-40.01,-17.82,1398.35,14.89,10.52,Abrasives & Bearings
SKFINDUS,SKF India Indus.,2762.2,36.78,13662.5,0.36,118.97,-1.93,945.72,31.24,29.89,Abrasives & Bearings
SKFINDIA,SKF India,1470.8,24.6,7274.0,2.72,-20.23,-128.78,594.54,20.68,13.33,Abrasives & Bearings
